Bloc,Traitement,Engrais,dpHeau,dpHkcl,dN,dC,dMO,dCEC,dPass
1,T1,700 kg/ha NPK,0.65,0.68,-0.19,0.21,0.36,3.52,6.00
1,T2,400 kg/ha NPK + 600 kg/ha INT,1.24,1.22,0.05,0.05,0.08,-0.28,5.00
1,T3,600 kg/ha NPK + 600 kg/ha INT,1.83,2.06,-0.09,-0.11,-0.21,3.22,11.00
1,T4,300 kg/ha NPK + 1200 kg/ha INT,0.63,0.83,0.17,0.13,0.24,0.92,3.00
1,T5,400 kg/ha NPK + 1200 kg/ha INT,1.77,1.96,0.03,0.21,0.36,-0.20,17.00
1,T6,600 kg/ha NPK + 1200 kg/ha INT,2.17,2.37,0.01,-0.81,-1.40,-0.04,39.00
2,T1,700 kg/ha NPK,0.63,0.92,-0.07,0.30,0.53,2.12,26.00
2,T2,400 kg/ha NPK + 600 kg/ha INT,0.98,1.11,-0.14,-0.48,-0.90,2.04,20.00
2,T3,600 kg/ha NPK + 600 kg/ha INT,2.19,2.44,0.03,-0.56,-0.99,2.12,36.00
2,T4,300 kg/ha NPK + 1200 kg/ha INT,0.02,0.07,0.01,0.38,0.65,2.52,15.00
2,T5,400 kg/ha NPK + 1200 kg/ha INT,0.69,1.27,-0.02,0.38,0.65,2.52,15.00
2,T6,600 kg/ha NPK + 1200 kg/ha INT,0.48,0.35,0.05,0.30,0.53,0.92,28.00
3,T1,700 kg/ha NPK,0.24,0.39,-0.09,0.46,0.81,2.52,14.00
3,T2,400 kg/ha NPK + 600 kg/ha INT,0.24,0.01,0.01,-0.36,-0.62,2.28,12.00
3,T3,600 kg/ha NPK + 600 kg/ha INT,0.27,0.10,0.03,-0.48,-0.82,3.32,14.00
3,T4,300 kg/ha NPK + 1200 kg/ha INT,0.36,0.47,0.08,0.21,0.36,0.52,12.00
3,T5,400 kg/ha NPK + 1200 kg/ha INT,0.45,0.08,0.01,-0.11,-0.21,-1.72,16.00
3,T6,600 kg/ha NPK + 1200 kg/ha INT,1.03,1.05,-0.14,0.46,0.81,1.40,22.00
4,T1,700 kg/ha NPK,0.80,0.94,-0.07,0.30,0.53,3.32,16.00
4,T2,400 kg/ha NPK + 600 kg/ha INT,1.70,1.91,0.13,0.30,0.53,3.32,14.00
4,T3,600 kg/ha NPK + 600 kg/ha INT,0.84,1.56,-0.11,0.38,0.65,3.72,12.00
4,T4,300 kg/ha NPK + 1200 kg/ha INT,0.47,0.50,0.03,0.30,0.53,3.64,11.00
4,T5,400 kg/ha NPK + 1200 kg/ha INT,0.69,0.77,-0.07,0.21,0.36,2.60,11.00
4,T6,600 kg/ha NPK + 1200 kg/ha INT,0.63,0.68,0.10,-0.11,-0.21,2.52,12.00
5,T1,700 kg/ha NPK,1.28,1.36,0.10,-0.20,-0.33,1.32,11.00
5,T2,400 kg/ha NPK + 600 kg/ha INT,0.48,0.42,-0.16,-0.03,-0.05,1.40,19.00
5,T3,600 kg/ha NPK + 600 kg/ha INT,0.41,0.52,-0.04,-0.36,-0.62,0.92,42.00
5,T4,300 kg/ha NPK + 1200 kg/ha INT,-0.15,0.05,0.22,-0.56,-0.99,3.24,16.00
5,T5,400 kg/ha NPK + 1200 kg/ha INT,0.40,0.33,-0.07,-0.73,-1.23,3.32,19.00
5,T6,600 kg/ha NPK + 1200 kg/ha INT,0.08,0.01,0.03,-0.20,-0.33,2.84,9.00
6,T1,700 kg/ha NPK,0.35,0.50,0.05,0.05,0.08,3.64,24.00
6,T2,400 kg/ha NPK + 600 kg/ha INT,0.29,0.01,0.17,0.13,0.24,-0.52,19.00
6,T3,600 kg/ha NPK + 600 kg/ha INT,0.27,0.06,0.01,-0.03,-0.05,3.72,25.00
6,T4,300 kg/ha NPK + 1200 kg/ha INT,0.29,0.41,0.03,0.30,0.53,3.72,30.00
6,T5,400 kg/ha NPK + 1200 kg/ha INT,0.21,0.09,-0.16,0.21,0.36,2.28,6.00
6,T6,600 kg/ha NPK + 1200 kg/ha INT,1.43,1.54,0.05,-0.11,-0.21,0.92,25.00
